id;name;code;abr
710;Paumar�;pau;\N
711;Penobscot;pen;\N
712;Pennsylvania German;pg;\N
713;Phoenician;pho;\N
714;Phrygian;phr;\N
715;Picard;pic;\N
716;Piedmontese;pie;\N
717;Pijin;pij;\N
718;Pinyin;pin;\N
719;Pipil;pip;\N
720;Pirah�;pir;\N
721;Pite Sami;pisa;\N
722;Pitjantjatjara;pit;\N
723;Pochutec;poc;\N
724;Pohnpeian;poh;\N
725;Polabian;polb;\N
726;Polari;polr;\N
727;Portugal;por;\N
728;Potawatomi;pota;\N
729;Pulaar;pul;\N
730;Pumpokol;pum;\N
731;Punic;puni;\N
732;Punjabi;punj;\N
733;Puyuma;puy;\N
734;Rade;rad;\N
735;Rajasthani;raj;\N
736;Rapa Nui;rap;\N
737;Rarotongan;rar;\N
738;Rejang;rej;\N
739;Rhymes;rhy;\N
740;Romani;rma;\N
741;Rohingya;roh;\N
742;Romansch;rom;\N
743;Rotokas;roto;\N
744;Rotuman;rotu;\N
745;Russenorsk;runo;\N
746;Russia Buryat;ruby;\N
747;Rusyn;rusy;\N
748;Rutul;rutu;\N
749;Saanich;saa;\N
750;Saterland Frisian;saf;\N
751;Samogitian;sam;\N
752;Santali;san;\N
753;Samoan Plantation Pidgin;sap;\N
754;Sarcee;sar;\N
755;Sasak;sasa;\N
756;Sassarese Sardinian;sass;\N
757;Sawi;saw;\N
758;Sayula Popoluca;say;\N
759;Scottish Gaelic;scg;\N
760;Scots;sco;\N
761;Sebat Bet Gurage;seb;\N
762;Seneca;sen;\N
763;Seraiki;sera;\N
764;Seri;seri;\N
765;Serui-Laut;seru;\N
766;Shabo;sha;\N
767;Shan;shan;\N
768;Shel;shel;\N
769;Sherpa;sher;\N
770;Shelta;shet;\N
771;Shor;shor;\N
772;Shoshone;shos;\N
773;Shuar;shu;\N
774;Silesian;sil;\N
775;Sichuan Yi;siy;\N
776;Skolt Sami;sks;\N
777;Slovincian;slo;\N
778;Slovene;slv;\N
779;Soqotri;soq;\N
780;Sotho;sot;\N
781;Sranan Tongo;srt;\N
782;Sumbawa;sumb;\N
783;Sursurunga;sur;\N
784;Svan;sva;\N
785;Swabian;swa;\N
786;Sydney;syd;\N
787;Syriac;syr;\N
788;Tabassaran;tab;\N
789;Tacana;taca;\N
790;Tachelhit;tach;\N
791;Tai Dam;tad;\N
792;Tahitian;tah;\N
793;Tamashek;tama;\N
794;Tambora;tamb;\N
795;Taos;taos;\N
796;Tarantino;tar;\N
797;Tasmanian;tas;\N
798;Tausug;tau;\N
799;Ter Sami;tesa;\N
800;Tetum;tet;\N
801;Tigre;tig;\N
802;Tiwi;tiwi;\N
803;Tocharian A;toa;\N
804;Tocharian B;tob;\N
805;Tongan;ton;\N
806;Taimyr Pidgin Russian;tpr;\N
807;Translingual;tra;\N
808;Tsakhur;tsa;\N
809;Torres Strait Creole;tsc;\N
810;Tshiluba;tsh;\N
811;Tswana;tsw;\N
812;Tuamotuan;tuam;\N
813;Tunisian Arabic;tuar;\N
814;Tulu;tul;\N
815;Tumbuka;tum;\N
816;Tupinamb�;tup;\N
817;Tuvaluan;tuvl;\N
818;Tuvan;tuvn;\N
819;Twents;twe;\N
820;Tz'utujil;tz;\N
821;Ubykh;uby;\N
822;Udi;udi;\N
823;Udmurt;udmz;\N
824;Ugaritic;uga;\N
825;Uab Meto;um;\N
826;Umbrian;umbr;\N
827;Umbundu;umbu;\N
828;Ume Sami;umsa;\N
829;Unami;una;\N
830;Undetermined;und;\N
831;Unserdeutsch;uns;\N
832;Urum;uru;\N
833;Vai;vai;\N
834;Vandalic;van;\N
835;Venda;vend;\N
836;Venetian;vene;\N
837;Venetic;vent;\N
838;Veps;vep;\N
839;Vestinian;vest;\N
840;Vilamovian;vil;\N
841;Vinza;vin;\N
842;Volscian;vol;\N
843;V�ro;vor;\N
844;Votic;vot;\N
845;Wabo;wa�bo;\N
846;Wageman;wag;\N
847;Wallisian;wal;\N
848;Wandamen;wand;\N
849;Wangaaybuwan-Ngiyambaa;wang;\N
850;Western Apache;wap;\N
851;Wari';wari;\N
852;Warao;waro;\N
